department_id,name,type,leader,website,faculty,base_organizations
1,Военный учебный центр,институтская,Кваченко Андрей Владимирович,,,
2,Высшая школа системного инжиниринга,межфакультетская,Бубнов Григорий Георгиевич,,,
3,Департамент иностранных языков,институтская,Базанова Елена Михайловна,,,
4,Департамент молекулярной и биологической физики,факультетская,Попов Игорь Алексеевич,,ФБМФ,МФТИ
5,Департамент системного анализа экономики,институтская,Улюкаев Алексей Валентинович,,,
6,Департамент физической культуры и спорта,институтская,Никишкин Владимир Александрович,,,
7,Департамент химии,институтская,"",,,
8,Кафедра «Алгоритмы и технологии программирования»,факультетская,Яковлев Виктор Вадимович,,"Факультет инноваций и высоких технологий, Физтех-школа прикладной математики и информатики",
9,Кафедра «Анализ данных»,базовая,Райгородский Андрей Михайлович,,Факультет инноваций и высоких технологий,Яндекс
10,Кафедра «Дискретная математика»,межфакультетская,Райгородский Андрей Михайлович,,"Факультет инноваций и высоких технологий, Физтех-школа прикладной математики и информатики",
11,Кафедра «Инновационная экономика»,базовая,Иванов Юрий Николаевич,,Факультет инноваций и высоких технологий,Институт проблем управления РАН
12,Кафедра «Интеллектуальные системы»,базовая,"",,Факультет управления и прикладной математики,ВЦ РАН
13,Кафедра «Концептуальный анализ и проектирование»,базовая,Кучкаров Захирджан Анварович,,Факультет инноваций и высоких технологий,
14,Кафедра «Корпоративные информационные системы»,базовая,Нуралиев Борис Георгиевич,,Факультет инноваций и высоких технологий,
15,Кафедра «Оценка эффективности инвестиционных проектов»,базовая,Лившиц Вениамин Наумович,,Факультет инноваций и высоких технологий,
16,Кафедра «Распознавание изображений и обработка текстов»,базовая,Кузнецов Сергей Олегович,,Факультет инноваций и высоких технологий,ABBYY
17,Кафедра «Распределенные вычисления»,базовая,"",,Факультет инноваций и высоких технологий,
18,Кафедра «Управления технологическими проектами»,базовая,Повалко Александр Борисович,,Факультет инноваций и высоких технологий,АО «РВК» (Российская венчурная компания)
19,Кафедра «Физико-техническая информатика»,базовая,Бутко Андрей Борисович,,"Факультет инноваций и высоких технологий, https://mipt.ru/education/chairs/phystechinformatics/","[[Базовая организация::АО ""Русатом - Автоматизированные системы управления"".]]"
20,Кафедра «Фундаментальных взаимодействий и космологии»,базовая,Либанов Максим Валентинович,,Факультет проблем физики и энергетики,Институт ядерных исследований РАН
21,Кафедра «Экономика интеллектуальной собственности»,базовая,Козырев Анатолий Николаевич,,Факультет инноваций и высоких технологий,ЦЭМИ РАН
22,Кафедра аэрофизического эксперимента и информационно-измерительных систем,базовая,Петроневич Василий Васильевич,,Факультет аэромеханики и летательной техники,ЦАГИ
23,Кафедра вакуумной электроники,факультетская,"",,Факультет физической и квантовой электроники,
24,Кафедра волновых процессов и систем управления,факультетская,Гаричев Сергей Николаевич,,Факультет радиотехники и кибернетики,ИРЭ РАН
25,Кафедра высокопроизводительных вычислительных систем и оптоэлектроники,базовая,Митропольский Юрий Иванович,,Факультет физической и квантовой электроники,ФТИАН
26,Кафедра высшей математики,институтская,Иванов Григорий Евгеньевич,,,
27,Кафедра вычислительной математики,???,???,,,
28,Кафедра вычислительной физики,институтская,Симаков Сергей Сергеевич,,,
29,"Кафедра газовой динамики, горения и теплообмена",базовая,Скибин Владимир Алексеевич,,Факультет аэромеханики и летательной техники,ЦИАМ им. Баранова
30,Кафедра защиты информации,базовая,"",,Факультет радиотехники и кибернетики,ОКБ САПР
31,Кафедра инновационной фармацевтики и биотехнологии,факультетская,Иващенко Андрей Александрович,,Факультет биологической и медицинской физики,"Био-Бизнес Инкубатор МФТИ, ХимРар"
32,Кафедра информатики,институтская,Петров Игорь Борисович,,,
33,Кафедра информатики и вычислительной математики,???,Хохлов Николай Игоревич,,,
34,Кафедра информатики и вычислительной техники,базовая,Фельдман Владимир Марткович,,Физтех-школа радиотехники и компьютерных технологий,"АО «МЦСТ», ПАО «ИНЭУМ им.И.С.Брука»"
35,Кафедра информационных бизнес систем,базовая,Мацоцкий Сергей Савельевич,,Факультет радиотехники и кибернетики,группа компаний IBS
36,Кафедра истории,факультетская,Кульпин-Губайдулин Эдуард Сальманович,,Факультет гуманитарных наук,
37,Кафедра истории культуры,институтская,Чистяков Георгий Петрович,,,
38,Кафедра квантовой электроники,базовая,Зверев Георгий Митрофанович,,Факультет физической и квантовой электроники,"ФГУП НИИ ""Полюс"" им. М.Ф.Стельмаха"
39,Кафедра квантовых оптических систем,базовая,Базлев Дмитрий Анатольевич,,Факультет физической и квантовой электроники,"ГНЦ РФ ФГУП ""НПО ""Астрофизика"""
40,Кафедра когнитивных технологий,базовая,Арлазаров Владимир Львович,,Факультет инноваций и высоких технологий,Smart Engines
41,Кафедра компьютерного моделирования,базовая,Босняков Сергей Михайлович,,Факультет аэромеханики и летательной техники,ЦАГИ в г. Жуковский
42,Кафедра конденсированного состояния в экстремальных условиях,базовая,Стишов Сергей Михайлович,,Факультет проблем физики и энергетики,Институт физики высоких давлений РАН
43,Кафедра космической физики,базовая,"",,Факультет проблем физики и энергетики,Институт космических исследований РАН
44,Кафедра культурологии,факультетская,Кобзев Артём Игоревич,,Факультет гуманитарных наук,
45,Кафедра лазерных систем и структурированных материалов,базовая,Щербаков Иван Александрович,,Факультет проблем физики и энергетики,Институт общей физики РАН и Научный центр волоконной оптики РАН
46,Кафедра математических основ управления,факультетская,Гасников Александр Владимирович,,Факультет управления и прикладной математики,
47,Кафедра математического моделирования,базовая,Четверушкин Борис Николаевич,,Факультет управления и прикладной математики,Институт прикладной математики им. М.В. Келдыша
48,Кафедра математического моделирования физических процессов,базовая,"",,Факультет проблем физики и энергетики,Институт вычислительной математики РАН
49,Кафедра механики сплошных сред,факультетская,Широков Николай Николаевич,,Факультет аэрофизики и космических исследований,
50,Кафедра микропроцессорных технологий,базовая,Бабаян Борис Арташесович,,Факультет радиотехники и кибернетики,"ЗАО «Интел А/О» (2004–н.в.)
ООО «Интел Софтвер» (2011–н.в.)"
51,Кафедра молекулярной физики,межфакультетская,"",,,
52,Кафедра нанооптики и спектроскопии,базовая,Сурин Леонид Аркадьевич,,Факультет проблем физики и энергетики,Институт спектроскопии РАН
53,Кафедра НБИК-технологий,факультетская,Ковальчук Михаил Валентинович,,ФНБИК,НИЦ «Курчатовский институт»
54,Кафедра нелинейных и динамических процессов в астрофизике и геофизике,базовая,Велихов Евгений Павлович,,Факультет проблем физики и энергетики,НИЦ Курчатовский институт и Институт астрономии РАН
55,Кафедра общей физики,институтская,Гавриков Андрей Владимирович,,,
56,Кафедра плазменной энергетики,базовая,Велихов Евгений Павлович,,Факультет проблем физики и энергетики,Троицкий институт инновационных и термоядерных исследований
57,Кафедра права,институтская,Надеждин Борис Борисович,,,
58,Кафедра прикладной механики,факультетская,Негодяев Сергей Серафимович,,ФАКИ,
59,Кафедра прикладной механики и информатики,факультетская,Медведский Александр Леонидович,,Факультет аэромеханики и летательной техники,
60,Кафедра прикладной физики,факультетская,Леонов Алексей Георгиевич,,Факультет проблем физики и энергетики,
61,Кафедра прикладных информационных технологий,базовая,Сергей Аполлонович Никитов,,Факультет физической и квантовой электроники,ИРЭ им. В.А. Котельникова РАН
62,Кафедра проблем безопасного развития современных энергетических технологий,базовая,Большов Леонид Александрович,,Факультет проблем физики и энергетики,Институт проблем безопасного развития атомной энергетики РАН
63,Кафедра проблем инерционного термоядерного синтеза,базовая,Илькаев Радий Иванович,,Факультет проблем физики и энергетики,Российский федеральный ядерный центр - Всероссийский НИИ экспериментальной физики
64,Кафедра радиотехники и систем управления,базовая,Бондарик Владимир Николаевич,,Факультет радиотехники и кибернетики,"НИЦ Телекоммуникаций, МФТИ"
65,Кафедра радиоэлектроники и прикладной информатики,факультетская,Щелкунов Николай Николаевич,,Факультет радиотехники и кибернетики,
66,"Кафедра систем, устройств и методов геокосмической физики",факультетская,Кондранин Тимофей Владимирович,,ФАКИ,
67,Кафедра системного программирования,базовая,Аветисян Арутюн Ишханович,,Факультет управления и прикладной математики,Институт системного программирования РАН
68,Кафедра теоретической и прикладной аэрогидромеханики,факультетская,Гайфуллин Александр Марксович,,Факультет аэромеханики и летательной техники,"ФГУП ""ЦАГИ"", ФГУП «Крыловский ГНЦ»."
69,Кафедра теоретической и прикладной информатики,базовая,Тормасов Александр Геннадьевич,,Факультет управления и прикладной математики,Parallels; Acronis; RQC; Runa-Capital
70,Кафедра теоретической механики,институтская,Соколов Сергей Викторович,,,
71,Кафедра теоретической физики,институтская,Ахмедов Эмиль Тофикович,,,
72,Кафедра управляющих и информационных систем,базовая,Федосов Евгений Александрович,,Факультет управления и прикладной математики,ФГУП «Государственный научно-исследовательский институт авиационных систем»
73,Кафедра физики высоких плотностей энергии,базовая,Петров Олег Фёдорович,,Факультет проблем физики и энергетики,Объединённый институт высоких температур РАН
74,Кафедра физики высокотемпературных процессов,базовая,Стегайлов Владимир Владимирович,,"Факультет молекулярной и химической физики, Факультет проблем физики и энергетики",Объединенный институт высоких температур РАН (ОИВТ РАН)
75,Кафедра физики живых систем,базовая,Заико Валерий Михайлович,,Факультет молекулярной и биологической физики,"Институт скорой помощи им. Н.В. Склифосовского,
ФНЦ Трансплантологии и искусственных органов им. академика В.И. Шумакова и др."
76,Кафедра физики и технологии наноструктур,факультетская,Лебедев Владимир Валентинович,,Факультет общей и прикладной физики,
77,Кафедра физики и химии плазмы,базовая,Чукбар Константин Владимирович,,"Факультет молекулярной и химической физики, Физтех-школа природоподобных, плазменных и ядерных технологий им. И.В. Курчатова","НИЦ ""Курчатовский институт"""
78,Кафедра физики твёрдого тела,базовая,Левченко Александр Алексеевич,,"Факультет общей и прикладной физики, ЛФИ",Институт физики твёрдого тела РАН
79,Кафедра физико-технологических проблем наноразмерных систем,базовая,Ивасишин Орест Михайлович,,Факультет проблем физики и энергетики,Институт металлофизики и Институт материаловедения НАН Украины
80,Кафедра физико-химической биологии и биотехнологии,базовая,Арсеньев Александр Сергеевич,,Факультет биологической и медицинской физики,Институт биоорганической химии
81,Кафедра физической механики,факультетская,Сон Эдуард Евгеньевич,,Факультет аэрофизики и космических исследований,
82,Кафедра философии,факультетская,Сербиненко Вячеслав Владимирович,,Факультет гуманитарных наук,
83,Кафедра функциональной наноэлектроники,базовая,Красников Геннадий Яковлевич,,Факультет физической и квантовой электроники,"ОАО ""Научно-исследовательский институ молекулярной электроники"""
84,Кафедра электродинамики сложных систем и нанофотоники,базовая,Лагарьков Андрей Николаевич,,Факультет проблем физики и энергетики,Институт теоретической и прикладной электродинамики РАН
85,Кафедра электрофизики,базовая,Месяц Геннадий Андреевич,,Факультет проблем физики и энергетики,Физический институт им. Лебедева РАН
86,Магистратура,"","",,,
87,"ОП ""Вычислительная физика конденсированного состояния и живых систем""",базовая,Норман Генри Эдгарович,,Физтех-школа физики и исследований им. Ландау,"МФТИ, ОИВТ РАН, ИБХ РАН, ВНИИА им. Духова"
88,Теоретической кибернетики и методов оптимального управления,базовая,"",,Факультет управления и прикладной математики,Институт кибернетики имени В.М. Глушкова НАН Украины
89,Физтех-кластер АНК ЛФИ,факультетская,Киселёв Валерий Валерьевич,,"Факультет общей и прикладной физики, Физтех-школа физики и исследований им. Ландау",ЛФИ МФТИ
90,Центр открытых систем и высоких технологий МФТИ,базовая,Хельвас Александр Валерьевич,,Факультет физической и квантовой электроники,
